PRODUCT_CATEGORY,RATING,LABEL,REVIEW_TEXT,SOURCE,TEXT_LENGTH,SENTIMENT_POLARITY,RATIO_REPEATING_WORDS,IMPORTANT_WORDS_COUNT,STOPWORDS,FK_SCORE,CAPITALIZATION_COUNT,PUNCTUATION_COUNT
Toys_and_Games_5,5.0,F,"My children have really enjoyed this set and the materials are good.  My son loves this one.I bought this for my son for Christmas and he absolutely loves it. The only thing that I do like about it is the size of the hat. My son is 4 and loves to play with it. He's also the youngest one in the house and it is a little challenging for him to hold the pieces together. I think it is a nice toy for a little one, but not for a grown-up. The little one will probably love it for a while. I would buy this again, but maybe for a few more years.My son loves this car!  It is very",AMAZON,120,0.23557692307692307,0.14018691588785046,3,72,2.8,13,14
Movies_and_TV_5,5.0,F,"This is one of the better ones I've seen in a long time, and I'm just glad I finally got the chance to see it. The sound is great, the sound is",AMAZON,32,0.3642857142857143,0.1111111111111111,0,18,3.6,5,5
Pet_Supplies_5,5.0,F,"Y dogs could eat these, but I thought they would be a little more difficult to get them to eat. I had to get a couple of extra cans out of the box, and now it's a little difficult to get them to eat them.I bought this for my dog who is a chewer.  He will go to the vet and try to chew on",AMAZON,65,-0.14583333333333334,0.1864406779661017,0,39,4.9,5,6
Toys_and_Games_5,5.0,F,"Omg... this Is a super cute set, the materials are thick and sturdy, and the figures",AMAZON,16,0.17777777777777773,0.15384615384615385,0,8,7.2,2,5
Sports_and_Outdoors_5,5.0,F,I bought a couple of these for my son and they fit perfectly. He loves the way he can slide them on the floor without a problem. The only drawback is the side panel is a little tight.,AMAZON,38,0.20678571428571427,0.11428571428571428,0,22,3.5,3,3
Clothing_Shoes_and_Jewelry_5,5.0,F,"I got this for my daughter. She loves it. It is very cute and the material is very soft. I had to get a size down but the waist is a perfect length. The color is beautiful and the material is very thin. I wish it was a bit thicker. The material is a bit stretchy but the length is good. The material is very soft and I love it. I would buy it again.This dress is really cute. I received it in a very nice box. I would highly recommend it.I love these, they fit true to size.",AMAZON,99,0.3982962962962963,0.15294117647058825,3,56,1.5,14,14
Home_and_Kitchen_5,5.0,F,"Fits my 32 oz. Ozark, and I love the fact that it comes with a small",AMAZON,16,0.125,0.0,1,8,-0.8,3,2
Kindle_Store_5,4.0,F,This was a very interesting book. The characters were well developed and kept my interest.,AMAZON,15,0.375,0.0,0,8,6.2,2,2
Electronics_5,5.0,F,"These are not exactly like the ones I bought, but I did find that the dimensions were just right.  The ear buds are a bit small, but if you don't mind having",AMAZON,32,-0.029761904761904767,0.14285714285714285,1,20,4.8,4,4
Electronics_5,4.0,F,"In the past six months, I have had the Garmin and Garmin XR 360s in the same car. I had the Garmin, and the Garmin XR 360s in the same car. I have been in the same car for about two years and have had the same issues with the Garmin. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car. I have the Garmin, and the Garmin XR 360s in the same car.",AMAZON,194,-0.015625,0.059880239520958084,0,121,1.6,68,27
Books_5,3.0,F,"I wanted more from Dean Koontz.  I was a little disappointed in the ending, but I think",AMAZON,17,-0.14583333333333334,0.06666666666666667,0,10,4.2,5,2
